,HOSPITAL NAME,LOCATION,NO. OF DOCTORS,NO. OF BEDS,LINKS
146,Kiran-swetha children hospital,"Chanda Nagar, Hyderabad",1.0,,https://www.practo.com/hyderabad/hospital/kiran-swetha-children-hospital-chanda-nagar3
147,Srikara Hospitals,"Secunderabad, Hyderabad",11.0,100.0,https://www.practo.com/hyderabad/hospital/barli-orthopaedic-clinic-kanakpura-road
148,Orient Eye Hospital,"Mehdipatnam, Hyderabad",2.0,5.0,https://www.practo.com/hyderabad/hospital/omega-eye-hospital-mehdipatnam
149,Shri Adithya Hospitals,"Ecil, Hyderabad",5.0,,https://www.practo.com/hyderabad/hospital/shri-adithya-hospitals-dammaiguda-main-road-ecil
150,Thatha Hospital,"Kapra, Hyderabad",19.0,100.0,https://www.practo.com/hyderabad/hospital/thatha-hospital-kapra
151,Redefine Plastic and Cosmetic Surgery Center,"Kothapet, Hyderabad",2.0,5.0,https://www.practo.com/hyderabad/hospital/redefine-plastic-surgery-center-kothapet
152,Shree Hospital,"Baghlingampally, Hyderabad",2.0,10.0,https://www.practo.com/hyderabad/hospital/shree-hospital-baghlingampally
153,Secunderabad Women's Hospital,"Ranigunj, Hyderabad",1.0,25.0,https://www.practo.com/hyderabad/hospital/secunderabad-women-s-hospital-secunderabad
154,Pavan Sai Hospital,"LB Nagar, Hyderabad",1.0,10.0,https://www.practo.com/hyderabad/hospital/pavan-sai-hospital-nagole
155,Nethra Eye Institute(A Unit OfS owrya Hospitals),"Ameerpet, Hyderabad",2.0,10.0,https://www.practo.com/hyderabad/hospital/nethra-eye-institute-ameerpet
156,Sainath Hospital,"Ameerpet, Hyderabad",1.0,10.0,https://www.practo.com/hyderabad/hospital/sainath-hospital-ameerpet-1
157,Dr.Gowds Dental Hospitals,"Banjara Hills, Hyderabad",9.0,,https://www.practo.com/hyderabad/hospital/dr-gowd-s-dental-banjara-hills
158,Matrika Hospital,"Somajiguda, Hyderabad",4.0,,https://www.practo.com/hyderabad/hospital/matrika-hospital-somajiguda-1
159,Asian Institute Of Nephrology & Urology,"Somajiguda, Hyderabad",9.0,100.0,https://www.practo.com/hyderabad/hospital/asian-institute-of-nephrology-urology
160,Saluja Hospital,"Secunderabad, Hyderabad",9.0,50.0,https://www.practo.com/hyderabad/hospital/saluja-hospital-secunderabad
161,Leela Hospital,"Moti Nagar, Hyderabad",1.0,20.0,https://www.practo.com/hyderabad/hospital/leela-hospital-moti-nagar
162,G.B.R. Hospital Multispeciality,"Dilsukhnagar, Hyderabad",8.0,,https://www.practo.com/hyderabad/hospital/g-b-r-hospital-multispeciality-dilsukh-nagar
163,Navodaya Nursing Home,"Amberpet, Hyderabad",3.0,20.0,https://www.practo.com/hyderabad/hospital/navodaya-nursing-home-nallakunta
164,Lakshmi Sailaja Hospital,"Suchitra Circle, Hyderabad",2.0,30.0,https://www.practo.com/hyderabad/hospital/lakshmi-sailaja-hospital-suchitra-circle
